,SK_ID_CURR,TARGET
0,100006,0
1,100014,0
2,100015,0
3,100017,0
4,100018,0
5,100019,0
6,100030,0
7,100032,0
8,100035,0
9,100040,0
10,100045,0
11,100048,0
12,100049,1
13,100051,0
14,100059,0
15,100060,0
16,100062,0
17,100069,0
18,100071,0
19,100078,0
20,100086,0
21,100098,0
22,100100,0
23,100103,0
24,100104,0
25,100105,0
26,100113,0
27,100114,0
28,100119,0
29,100120,0
30,100121,0
31,100122,0
32,100133,0
33,100138,0
34,100139,0
35,100143,0
36,100148,0
37,100156,0
38,100159,0
39,100167,0
40,100176,0
41,100182,0
42,100192,1
43,100194,0
44,100197,0
45,100198,0
46,100200,0
47,100206,0
48,100209,1
49,100210,0
50,100211,0
51,100214,1
52,100218,0
53,100226,0
54,100228,0
55,100234,0
56,100238,0
57,100240,0
58,100246,1
59,100247,0
60,100254,0
61,100258,0
62,100260,0
63,100262,0
64,100267,0
65,100274,0
66,100276,0
67,100282,1
68,100285,0
69,100286,1
70,100288,0
71,100293,0
72,100296,0
73,100301,1
74,100305,0
75,100308,0
76,100314,0
77,100320,0
78,100321,0
79,100326,1
80,100335,0
81,100337,0
82,100339,0
83,100343,0
84,100347,0
85,100353,0
86,100357,0
87,100359,0
88,100361,0
89,100374,0
90,100376,0
91,100383,0
92,100388,0
93,100390,0
94,100392,0
95,100394,0
96,100395,0
97,100396,1
98,100397,0
99,100405,0
100,100407,0
101,100413,0
102,100417,0
103,100425,0
104,100436,0
105,100443,0
106,100449,0
107,100457,0
108,100461,0
109,100464,0
110,100465,0
111,100469,0
112,100472,1
113,100475,0
114,100480,0
115,100481,0
116,100485,1
117,100495,0
118,100497,0
119,100501,0
120,100506,0
121,100519,0
122,100522,0
123,100525,0
124,100526,0
125,100530,0
126,100532,0
127,100534,0
128,100537,0
129,100538,0
130,100539,0
131,100544,0
132,100554,0
133,100555,0
134,100563,0
135,100570,0
136,100571,0
137,100581,0
138,100586,0
139,100590,0
140,100595,0
141,100601,0
142,100609,0
143,100610,0
144,100611,0
145,100612,0
146,100616,1
147,100619,0
148,100621,0
149,100628,0
150,100633,0
151,100635,0
152,100640,0
153,100642,0
154,100646,1
155,100649,1
156,100658,0
157,100661,0
158,100671,0
159,100680,0
160,100681,0
161,100691,0
162,100692,0
163,100693,0
164,100695,0
165,100697,0
166,100700,0
167,100708,0
168,100710,0
169,100712,0
170,100723,0
171,100724,0
172,100732,0
173,100741,0
174,100743,0
175,100748,0
176,100749,0
177,100750,0
178,100759,0
179,100773,0
180,100793,0
181,100795,0
182,100796,1
183,100798,0
184,100800,0
185,100803,0
186,100807,0
187,100810,0
188,100815,0
189,100816,1
190,100819,0
191,100827,0
192,100828,0
193,100837,0
194,100843,0
195,100845,0
196,100846,0
197,100848,0
198,100850,0
199,100851,0
200,100852,0
201,100857,0
202,100877,0
203,100880,0
204,100890,0
205,100891,0
206,100892,0
207,100896,1
208,100900,0
209,100915,0
210,100922,0
211,100932,0
212,100941,0
213,100945,1
214,100947,0
215,100949,0
216,100950,0
217,100959,0
218,100964,0
219,100972,0
220,100977,0
221,100978,0
222,100980,0
223,100981,0
224,100991,0
225,100992,1
226,100994,0
227,101000,0
228,101001,0
229,101007,0
230,101012,0
231,101015,0
232,101035,0
233,101039,0
234,101043,0
235,101048,0
236,101052,0
237,101058,0
238,101066,0
239,101074,0
240,101078,0
241,101081,0
242,101086,0
243,101091,0
244,101110,0
